itemId,reorderLevel,stockLevel
111109944082,20,19
111131630476,10,8
111143973175,15,19
111376060817,5,17
111622548279,15,16
111684918215,5,5
111693385875,20,21
111826407512,15,6
111834958064,10,12
111872925822,20,13
111899676332,15,6
111903027846,15,4
111946424262,20,6
111953764389,10,21
111953765224,5,10
111970192262,10,5
111985746876,15,2
111986186658,15,8
111991713131,10,5
112060047655,15,15
112065934697,20,4
112065934932,20,24
112086533509,5,12
112171026023,5,24
112172828166,15,2
112185138180,15,12
112188949685,15,5
112217612356,15,3
112220259827,10,14
112225724664,15,2
112227207217,15,8
112227951603,10,23
112232876048,10,7
112238398440,5,16
112247915747,20,16
112259640711,10,14
112260590952,10,17
112262290462,10,8
112262827183,5,5
112263821990,5,13
112264635293,20,2
121583775662,15,22
121599299590,15,24
121611211313,5,23
121628040397,5,23
121631982264,5,21
121746793394,15,6
121896411598,20,16
121938305748,15,20
121982637871,10,3
122004000091,15,17
122016898191,15,3
122016978907,15,15
122093315436,5,11
122105034114,10,20
122181760101,15,6
122192494797,20,22
122201862796,15,11
122201876630,10,13
122223595690,10,20
122227867511,15,11
122249011033,10,18
122249180977,10,11
122253331737,5,19
122254013461,5,2
122254691794,5,22
122270494683,15,24
122272710488,10,16
122272735544,20,22
122274120419,20,9
122276583234,20,25
122280426180,10,12
122286229843,20,17
122287617049,20,11
122290479816,10,19
122295429236,15,8
122296918798,5,7
122296920278,5,25
122298183437,10,8
122303340374,5,15
122304703309,15,4
131494423571,5,24
131730258692,10,13
131768922403,5,22
131789874313,5,15
131827913090,20,8
131846321150,5,6
131860710926,5,15
131873666942,15,19
131880339086,15,3
131897718812,10,2
131936085200,20,14
131949033864,20,10
132046582818,15,18
132047622034,15,11
132048459680,20,13
132049222969,15,2
132049976024,5,6
132049976048,20,4
132050293109,20,22
132061174669,15,23
141594589453,10,12
141606587069,5,17
141685472704,10,9
141744525068,20,19
141762555257,20,20
141764533970,15,6
141815589942,15,3
141837946621,20,7
141848717478,10,15
141916145888,10,14
141971312587,10,11
141996967454,20,21
142025954975,15,24
142032547113,15,10
142052508274,20,12
142083719631,15,11
142170026857,10,4
142211055851,5,17
142234837712,15,12
142235487196,5,13
142240354176,5,21
142240414140,20,22
142242197804,15,20
151907436202,20,6
151988926015,10,20
151992973864,5,9
152044309936,10,9
152059570912,20,17
152068513126,15,17
152069075651,15,11
152101075935,5,11
152136837876,15,25
152152245374,20,17
152169284093,15,23
152191939330,15,22
152223577953,5,15
152224008858,5,6
152232095255,15,22
152341090443,20,8
152355888292,5,5
152364487078,10,25
152389393032,20,18
161696166307,15,16
162008556525,20,8
162014977511,20,24
162178289225,20,5
162201342610,15,3
162228780073,20,11
162259317293,10,2
162259317296,10,7
162262950471,20,13
162310841485,20,5
162318958474,5,22
162318958476,5,19
162318958481,10,25
162318958490,15,1
162318958497,10,23
162319308638,10,22
162320810262,10,4
162329148106,15,15
162329148111,5,24
162335467285,10,16
162346880416,10,10
162346929096,5,21
162347047297,15,7
162347404356,15,15
162353226223,20,17
162354787544,15,2
171415198078,10,6
171535145716,15,14
171572277390,20,6
171826028577,20,16
171844776061,15,24
171974279353,5,10
172205173452,20,25
172216145355,10,20
172221952140,20,8
172265543909,15,18
172283340276,10,22
172343176857,5,19
172390380938,10,8
172398554811,20,19
172400262872,20,15
172401123778,5,11
172401437195,5,23
172451520407,10,25
172456531468,20,14
172468188035,5,20
172473136387,15,1
172475157465,5,16
172475538803,15,13
172480242394,10,16
172480452383,20,12
172482426737,20,13
181100562930,5,6
181605350521,15,22
181823498906,5,15
181990378630,5,7
182135291534,15,19
182230892718,15,10
182269143724,10,23
182385402224,5,11
182397052956,10,20
182407967287,15,25
182412857725,20,13
182413764014,20,1
191366998557,10,25
191474922108,15,13
191625346636,10,10
191761410162,20,5
191783636675,10,22
191796335611,10,15
